epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.9681,3.04895,2.80745,0.83973,0,0,0,0,0.62895,0.59736,0.19252,0.000653333,0.000653333,0.000653333
2,17.8148,4.77971,3.83609,1.12513,0,0,0,0,2.64846,2.36112,0.68829,0.00129386,0.00129386,0.00129386
3,24.8989,4.26408,4.84155,0.94059,0.02706,0.03919,0.01406,0.00333,3.77555,24.9599,0.93193,0.00190799,0.00190799,0.00190799
4,33.1094,4.41178,8.95398,0.86388,0.0283,0.10274,0.01665,0.00376,3.93013,3.63073,0.94276,0.0018812,0.0018812,0.0018812
5,41.1263,4.22825,10.1142,0.83469,0.0283,0.10274,0.01665,0.00376,3.93013,3.63073,0.94276,0.0018416,0.0018416,0.0018416
6,48.9086,4.142,8.86312,0.85217,0.04381,0.08067,0.01839,0.00403,3.71101,3.73796,0.89929,0.001802,0.001802,0.001802
7,56.1908,4.22738,7.38166,0.86205,0.05628,0.09056,0.02382,0.00503,3.756,4.70083,0.89472,0.0017624,0.0017624,0.0017624
8,64.0764,4.36593,7.74835,0.89265,0.05142,0.09817,0.02348,0.00523,3.71147,4.59143,0.8901,0.0017228,0.0017228,0.0017228
9,73.5124,4.35133,7.91379,0.88479,0.05142,0.09817,0.02348,0.00523,3.71147,4.59143,0.8901,0.0016832,0.0016832,0.0016832
10,80.4312,4.80839,3.67761,0.86119,0,0,0,0,4.64023,5.73364,0.94286,0.0016436,0.0016436,0.0016436
11,87.1788,4.47467,3.06884,0.84522,0.10899,0.04566,0.06315,0.01654,3.99489,4.11583,0.89348,0.001604,0.001604,0.001604
12,94.2471,3.82228,2.50446,0.82665,0.11627,0.25152,0.13289,0.03354,3.26303,2.9109,0.8631,0.0015644,0.0015644,0.0015644
13,101.136,3.84804,2.44987,0.8438,0.06349,0.34323,0.17622,0.03949,3.19832,2.17217,0.84012,0.0015248,0.0015248,0.0015248
14,108.466,3.43934,2.23764,0.80527,0.06349,0.34323,0.17622,0.03949,3.19832,2.17217,0.84012,0.0014852,0.0014852,0.0014852
15,116.298,3.46311,2.09206,0.78804,0.09185,0.414,0.21453,0.04556,3.2269,1.89059,0.81919,0.0014456,0.0014456,0.0014456
16,124.707,3.4015,2.19763,0.81934,0.55126,0.37367,0.35979,0.07886,3.02065,1.63837,0.80616,0.001406,0.001406,0.001406
17,133.186,3.20621,2.16559,0.76542,0.64404,0.39992,0.44702,0.10183,2.90613,1.60401,0.80549,0.0013664,0.0013664,0.0013664
18,142.647,3.01473,1.85139,0.74608,0.63201,0.34817,0.39023,0.08354,3.00164,1.60973,0.80638,0.0013268,0.0013268,0.0013268
19,150.174,3.15892,1.90165,0.75339,0.63201,0.34817,0.39023,0.08354,3.00164,1.60973,0.80638,0.0012872,0.0012872,0.0012872
20,157.643,3.03904,1.76819,0.75476,0.70746,0.39753,0.44439,0.10587,2.86287,1.44101,0.8056,0.0012476,0.0012476,0.0012476
21,165.264,2.86285,1.536,0.77168,0.71955,0.48135,0.52156,0.13559,2.67043,1.21883,0.79893,0.001208,0.001208,0.001208
22,172.444,2.70285,1.39837,0.7468,0.69014,0.46195,0.48538,0.11672,2.76125,1.09512,0.80387,0.0011684,0.0011684,0.0011684
23,179.414,3.00486,1.47817,0.75689,0.69014,0.46195,0.48538,0.11672,2.76125,1.09512,0.80387,0.0011288,0.0011288,0.0011288
24,186.072,2.91303,1.44207,0.77625,0.59659,0.34834,0.33705,0.08011,3.03845,1.10501,0.81072,0.0010892,0.0010892,0.0010892
25,192.43,2.91741,1.43906,0.76376,0.62485,0.40107,0.40426,0.10021,2.90042,1.03554,0.80494,0.0010496,0.0010496,0.0010496
26,198.969,3.01033,1.46002,0.7717,0.61893,0.41895,0.436,0.11761,2.78521,1.01874,0.79863,0.00101,0.00101,0.00101
27,209.914,2.97341,1.3759,0.75149,0.67507,0.50951,0.55358,0.15393,2.59408,0.99474,0.79142,0.0009704,0.0009704,0.0009704
