epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0795,4.57026,4.57577,1.31215,0,0,0,0,5.85273,6.00377,1.64423,0.000653333,0.000653333,0.000653333
2,29.8363,4.01544,3.65382,1.1069,0.11182,0.24658,0.07272,0.0175,3.19985,2.6035,0.93528,0.00129386,0.00129386,0.00129386
3,50.3197,3.29314,4.7548,0.89652,0.17142,0.28049,0.11348,0.02703,3.02061,2.35964,0.92024,0.00190799,0.00190799,0.00190799
4,58.2097,3.76868,3.46789,0.97307,0.006,0.03425,0.00311,0.0007,3.79136,3.61451,1.04749,0.0018812,0.0018812,0.0018812
5,64.5913,5.2053,3.82631,1.02665,0.006,0.03425,0.00311,0.0007,3.79136,3.61451,1.04749,0.0018416,0.0018416,0.0018416
6,71.8746,5.67308,3.70843,1.09379,0.00033,0.0019,0.0002,5e-05,5.83289,3.15975,1.09581,0.001802,0.001802,0.001802
7,78.8586,4.60999,3.42762,0.98939,0.01022,0.04947,0.00567,0.00083,4.77388,3.14735,0.98985,0.0017624,0.0017624,0.0017624
8,86.1395,3.78807,3.14755,0.95619,0.26714,0.62557,0.42192,0.12863,2.69082,3.24517,0.86575,0.0017228,0.0017228,0.0017228
9,93.8523,3.33431,2.8259,0.92477,0.26714,0.62557,0.42192,0.12863,2.69082,3.24517,0.86575,0.0016832,0.0016832,0.0016832
10,101.479,3.33141,2.27382,0.89567,0.12487,0.71271,0.46151,0.09585,3.05357,2.50381,0.88699,0.0016436,0.0016436,0.0016436
11,109.259,3.30712,2.00924,0.89447,0.73157,0.54985,0.62553,0.15083,2.8707,1.64565,0.87481,0.001604,0.001604,0.001604
12,116.953,2.9717,1.62108,0.88296,0.67416,0.70855,0.69929,0.18168,2.74799,1.20706,0.87396,0.0015644,0.0015644,0.0015644
13,125.562,3.01814,1.41876,0.89484,0.6962,0.72831,0.71595,0.18799,2.68579,1.12729,0.87287,0.0015248,0.0015248,0.0015248
14,133.848,2.94623,1.58641,0.89034,0.6962,0.72831,0.71595,0.18799,2.68579,1.12729,0.87287,0.0014852,0.0014852,0.0014852
15,142.488,2.96846,1.4496,0.86614,0.81492,0.80556,0.82217,0.23317,2.51354,1.2035,0.84282,0.0014456,0.0014456,0.0014456
16,151.098,2.76746,1.32014,0.95402,0.83758,0.75989,0.8322,0.27258,2.40414,1.19824,0.8349,0.001406,0.001406,0.001406
17,158.346,2.7668,1.40642,0.86717,0.84073,0.82152,0.87381,0.29092,2.39811,0.96851,0.84,0.0013664,0.0013664,0.0013664
18,164.941,2.50556,1.29314,0.81587,0.87723,0.83866,0.89536,0.32728,2.24665,0.9188,0.83615,0.0013268,0.0013268,0.0013268
19,172.324,2.60211,1.26378,0.83272,0.87723,0.83866,0.89536,0.32728,2.24665,0.9188,0.83615,0.0012872,0.0012872,0.0012872
20,179.851,2.49601,1.19431,0.82475,0.84815,0.79276,0.86252,0.31926,2.22911,0.95535,0.84037,0.0012476,0.0012476,0.0012476
21,187.145,2.36664,1.1066,0.82416,0.84261,0.82707,0.88255,0.3538,2.08687,0.97941,0.82771,0.001208,0.001208,0.001208
22,193.925,2.18652,1.10044,0.80348,0.88166,0.86568,0.91856,0.36337,2.07084,0.97213,0.8217,0.0011684,0.0011684,0.0011684
23,203.752,2.41839,1.20597,0.81396,0.88166,0.86568,0.91856,0.36337,2.07084,0.97213,0.8217,0.0011288,0.0011288,0.0011288
24,211.403,2.32754,1.01663,0.8269,0.89713,0.83181,0.91805,0.37888,2.03883,1.02714,0.82236,0.0010892,0.0010892,0.0010892
25,219.909,2.39782,1.08294,0.83507,0.88968,0.86301,0.91628,0.36899,2.09272,0.98289,0.82184,0.0010496,0.0010496,0.0010496
26,228.663,2.45812,1.08788,0.8585,0.87055,0.78046,0.86497,0.32225,2.23757,1.14681,0.82568,0.00101,0.00101,0.00101
27,241.172,2.299,1.03192,0.81316,0.90611,0.84092,0.90822,0.36782,2.05433,1.0238,0.81798,0.0009704,0.0009704,0.0009704
28,255.916,2.31155,1.03737,0.83947,0.90611,0.84092,0.90822,0.36782,2.05433,1.0238,0.81798,0.0009308,0.0009308,0.0009308
29,270.468,2.21371,0.99617,0.83366,0.90766,0.88661,0.9317,0.37317,2.06346,0.94242,0.81962,0.0008912,0.0008912,0.0008912
30,286.162,2.36588,1.0882,0.81504,0.92052,0.8991,0.9386,0.36508,2.10709,0.87612,0.82017,0.0008516,0.0008516,0.0008516
31,294.661,2.17835,1.0894,0.77771,0.91112,0.86207,0.9261,0.35571,2.10532,0.8979,0.8214,0.000812,0.000812,0.000812
32,302.518,2.15096,0.93552,0.80848,0.91112,0.86207,0.9261,0.35571,2.10532,0.8979,0.8214,0.0007724,0.0007724,0.0007724
33,314.273,2.27576,0.98113,0.81446,0.91276,0.84399,0.91202,0.36267,2.04789,0.93699,0.81749,0.0007328,0.0007328,0.0007328
34,322.26,2.21989,0.97732,0.8035,0.92044,0.84969,0.91614,0.37989,1.96773,0.90091,0.81657,0.0006932,0.0006932,0.0006932
35,330.523,2.15289,0.94144,0.82337,0.91693,0.88199,0.9348,0.40549,1.91,0.83782,0.81402,0.0006536,0.0006536,0.0006536
36,338.807,2.16089,0.99523,0.82832,0.88583,0.87976,0.928,0.37528,2.04286,0.91645,0.81718,0.000614,0.000614,0.000614
37,346.915,2.09874,0.88361,0.81686,0.88583,0.87976,0.928,0.37528,2.04286,0.91645,0.81718,0.0005744,0.0005744,0.0005744
38,355.146,2.03895,0.90446,0.77391,0.89456,0.88776,0.92984,0.38186,2.02643,0.89821,0.8167,0.0005348,0.0005348,0.0005348
39,369.447,2.11812,0.89929,0.77587,0.9159,0.8785,0.93848,0.40644,1.92193,0.89297,0.81519,0.0004952,0.0004952,0.0004952
40,383.794,2.09906,0.88817,0.80596,0.92632,0.8707,0.93343,0.41397,1.89746,0.9089,0.81375,0.0004556,0.0004556,0.0004556
41,423.209,2.26655,0.97687,0.82223,0.92632,0.8707,0.93343,0.41397,1.89746,0.9089,0.81375,0.000416,0.000416,0.000416
42,431.525,2.22649,0.88086,0.84291,0.90398,0.85616,0.91901,0.40191,1.91326,0.85656,0.81252,0.0003764,0.0003764,0.0003764
43,439.942,2.22554,0.89559,0.81599,0.89617,0.88681,0.9276,0.41916,1.84439,0.78768,0.8115,0.0003368,0.0003368,0.0003368
44,448.341,2.10219,0.83015,0.83576,0.91498,0.90501,0.94202,0.42852,1.82383,0.77637,0.81145,0.0002972,0.0002972,0.0002972
45,456.878,2.10516,0.84599,0.82775,0.91384,0.92418,0.94919,0.4348,1.80468,0.75792,0.81406,0.0002576,0.0002576,0.0002576
46,465.575,2.20224,0.90131,0.81157,0.91384,0.92418,0.94919,0.4348,1.80468,0.75792,0.81406,0.000218,0.000218,0.000218
47,474.302,2.1105,0.82632,0.82765,0.91298,0.92694,0.94696,0.43008,1.8164,0.74229,0.81434,0.0001784,0.0001784,0.0001784
48,482.811,2.07795,0.82842,0.82928,0.9047,0.92114,0.94637,0.42767,1.82043,0.76187,0.81442,0.0001388,0.0001388,0.0001388
49,490.954,2.05013,0.80412,0.84792,0.90546,0.91471,0.946,0.43187,1.82156,0.76497,0.81504,9.92e-05,9.92e-05,9.92e-05
50,499.313,2.07259,0.8321,0.82324,0.89522,0.91667,0.94236,0.43009,1.81957,0.75723,0.81499,5.96e-05,5.96e-05,5.96e-05
