epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.28261,4.95712,4.7791,1.46296,0,0,0,0,0.00207,0,0.00104,6e-05,6e-05,6e-05
2,3.60085,4.94609,4.84914,1.39393,0,0,0,0,0.00092,0,0.00046,0.000137228,0.000137228,0.000137228
3,4.92945,5.20325,4.65267,1.34989,0,0,0,0,0,0,0,0.000211288,0.000211288,0.000211288
4,6.25226,5.3711,3.85814,1.15099,0,0,0,0,0.19272,0.14844,0.06565,0.00028218,0.00028218,0.00028218
5,7.51969,4.24526,2.71821,0.91211,0,0,0,0,6.26988,4.3691,1.20937,0.000349904,0.000349904,0.000349904
6,8.92896,4.14017,2.05535,0.86287,0.04717,0.04718,0.03335,0.00771,4.40481,2.95857,0.89151,0.00041446,0.00041446,0.00041446
7,10.2621,3.92566,1.94425,0.84883,0.36162,0.05365,0.05356,0.01288,3.84745,1.90503,0.8251,0.000475848,0.000475848,0.000475848
8,11.7293,3.80741,2.0957,0.81746,0.268,0.10997,0.07058,0.01429,3.62965,1.65423,0.79669,0.000534068,0.000534068,0.000534068
9,13.0925,3.41986,1.89925,0.79461,0.36938,0.14612,0.11661,0.02794,3.4726,1.46741,0.78261,0.00058912,0.00058912,0.00058912
10,14.4886,3.8271,2.17182,0.73666,0.48037,0.15478,0.16296,0.03868,3.37554,1.57673,0.77221,0.000641004,0.000641004,0.000641004
11,15.9226,3.2542,1.68357,0.75372,0.47158,0.16971,0.17615,0.03919,3.4019,1.58329,0.77313,0.00068972,0.00068972,0.00068972
12,17.2998,2.95425,1.81959,0.78343,0.51627,0.18303,0.22211,0.05583,3.18023,1.57692,0.76406,0.000735268,0.000735268,0.000735268
13,18.8183,3.01035,1.41274,0.748,0.22529,0.24201,0.23574,0.06412,3.14084,1.92355,0.76477,0.000777648,0.000777648,0.000777648
14,20.2762,2.81299,1.27682,0.7663,0.22321,0.23858,0.23627,0.0641,3.11538,1.98851,0.76245,0.00081686,0.00081686,0.00081686
15,21.6387,3.11409,1.53844,0.74245,0.44669,0.27626,0.29119,0.07304,3.04495,1.5568,0.74505,0.000852904,0.000852904,0.000852904
16,22.9952,2.84321,1.28779,0.76616,0.5978,0.23132,0.29154,0.07095,3.06274,1.32168,0.73662,0.00088578,0.00088578,0.00088578
17,24.3297,2.75656,1.38373,0.76096,0.58324,0.2911,0.33367,0.08379,2.90136,1.13704,0.72787,0.000915488,0.000915488,0.000915488
18,25.711,2.86177,1.2237,0.74533,0.59044,0.28881,0.35973,0.09273,2.95256,1.09935,0.73031,0.000942028,0.000942028,0.000942028
19,27.1082,3.15793,1.43789,0.70003,0.5783,0.29947,0.36089,0.09505,2.90586,1.0739,0.72887,0.0009654,0.0009654,0.0009654
20,28.5158,2.72823,1.11273,0.73795,0.65448,0.31202,0.41623,0.11282,2.81863,1.09826,0.72362,0.000985604,0.000985604,0.000985604
21,30.0152,2.75888,1.30746,0.71912,0.71303,0.35426,0.46792,0.13149,2.65615,1.11491,0.71826,0.00100264,0.00100264,0.00100264
22,31.594,2.7797,1.07611,0.74678,0.71767,0.32112,0.43929,0.11383,2.78171,1.11265,0.7175,0.00101651,0.00101651,0.00101651
23,33.0054,2.89975,1.25461,0.74403,0.71497,0.34589,0.45047,0.12069,2.74108,1.12228,0.71241,0.00102721,0.00102721,0.00102721
24,34.4613,2.59826,0.99762,0.77049,0.74186,0.36635,0.48112,0.136,2.66004,1.10642,0.71075,0.00103474,0.00103474,0.00103474
25,35.8489,2.60308,1.09675,0.73504,0.7958,0.37668,0.51186,0.15142,2.52254,1.07473,0.71116,0.0010391,0.0010391,0.0010391
26,37.4383,2.85062,1.11475,0.71796,0.79791,0.37253,0.50989,0.14737,2.56063,1.05651,0.70998,0.00101,0.00101,0.00101
27,38.8569,2.70099,1.01733,0.7438,0.81735,0.38128,0.52326,0.15702,2.50223,1.02257,0.70741,0.0009704,0.0009704,0.0009704
28,40.2254,2.48348,1.09042,0.74506,0.75399,0.35803,0.46568,0.128,2.7121,1.04891,0.71037,0.0009308,0.0009308,0.0009308
29,41.6686,2.83875,1.03206,0.76566,0.69914,0.33424,0.4227,0.11045,2.87618,1.0743,0.71508,0.0008912,0.0008912,0.0008912
30,43.2053,2.71372,0.99598,0.75889,0.72419,0.35668,0.45982,0.13129,2.70678,1.01747,0.71815,0.0008516,0.0008516,0.0008516
31,44.5641,2.68284,1.05847,0.75715,0.73807,0.37405,0.49708,0.13798,2.67691,0.98833,0.71689,0.000812,0.000812,0.000812
32,46.289,2.61699,1.0766,0.72344,0.76182,0.3919,0.51463,0.15232,2.56557,0.94676,0.71258,0.0007724,0.0007724,0.0007724
33,48.1621,2.48717,0.95019,0.77144,0.80713,0.42161,0.55161,0.169,2.44613,0.90315,0.70715,0.0007328,0.0007328,0.0007328
34,50.0425,2.66462,1.10981,0.70157,0.79326,0.41464,0.53162,0.16035,2.4948,0.88121,0.7073,0.0006932,0.0006932,0.0006932
35,52.0717,2.74345,1.26995,0.73045,0.78153,0.41654,0.535,0.16707,2.40454,0.85573,0.7072,0.0006536,0.0006536,0.0006536
36,53.9481,2.36973,0.98154,0.76606,0.785,0.42618,0.54766,0.17023,2.39012,0.84846,0.70869,0.000614,0.000614,0.000614
37,55.8104,2.467,0.98339,0.73845,0.7897,0.44178,0.56499,0.17645,2.37032,0.83733,0.70784,0.0005744,0.0005744,0.0005744
38,57.7474,2.37683,0.92051,0.73236,0.78146,0.44749,0.56988,0.17727,2.35078,0.84626,0.70676,0.0005348,0.0005348,0.0005348
39,59.6405,2.56491,1.08752,0.69809,0.79351,0.45167,0.57262,0.17853,2.34362,0.85946,0.70656,0.0004952,0.0004952,0.0004952
40,61.5372,2.4969,1.05228,0.70665,0.7959,0.4551,0.57621,0.18519,2.29559,0.85797,0.70666,0.0004556,0.0004556,0.0004556
41,80.0892,2.37436,0.90597,0.75663,0.80189,0.44204,0.5716,0.18232,2.31738,0.86277,0.70784,0.000416,0.000416,0.000416
