Ground_truth,predicted,max_diff,local_diff
dead,dead,12.0,10.0
dead,dead,11.0,10.0
dead,dead,10.0,9.666666666666666
dead,dead,11.0,10.0
dead,dead,11.0,9.666666666666666
dead,dead,11.0,9.0
dead,dead,11.0,10.333333333333334
dead,dead,13.0,11.666666666666666
dead,dead,13.0,11.0
dead,dead,12.0,11.0
dead,dead,12.0,10.666666666666666
dead,dead,12.0,10.666666666666666
dead,dead,11.0,11.0
dead,alive,31.0,24.333333333333332
dead,dead,12.0,11.333333333333334
dead,dead,13.0,12.666666666666666
dead,dead,11.0,10.333333333333334
dead,dead,11.0,9.666666666666666
dead,dead,12.0,11.333333333333334
dead,dead,12.0,11.333333333333334
dead,alive,58.0,53.333333333333336
dead,dead,12.0,11.0
dead,dead,11.0,9.666666666666666
dead,dead,14.0,12.0
dead,dead,12.0,10.333333333333334
dead,dead,12.0,11.333333333333334
dead,dead,11.0,10.333333333333334
dead,dead,12.0,10.666666666666666
dead,dead,12.0,10.333333333333334
dead,dead,13.0,11.0
dead,dead,10.0,9.666666666666666
dead,dead,10.0,9.666666666666666
dead,dead,11.0,10.666666666666666
dead,dead,11.0,9.666666666666666
dead,dead,11.0,9.666666666666666
dead,dead,11.0,9.666666666666666
dead,dead,11.0,10.333333333333334
dead,dead,11.0,10.333333333333334
dead,dead,12.0,11.666666666666666
dead,alive,26.0,22.666666666666668
dead,dead,15.0,13.0
dead,dead,11.0,10.333333333333334
dead,dead,11.0,9.666666666666666
dead,dead,10.0,9.333333333333334
dead,dead,13.0,10.666666666666666
dead,dead,11.0,9.666666666666666
dead,alive,50.0,42.333333333333336
dead,dead,11.0,10.0
dead,alive,46.0,33.333333333333336
dead,dead,10.0,9.666666666666666
dead,dead,10.0,9.333333333333334
dead,dead,10.0,10.0
dead,dead,21.0,16.0
dead,dead,12.0,10.666666666666666
dead,dead,12.0,10.333333333333334
dead,dead,10.0,9.333333333333334
dead,dead,12.0,10.666666666666666
dead,dead,11.0,10.666666666666666
dead,dead,12.0,10.0
dead,dead,13.0,11.0
dead,dead,12.0,10.0
dead,dead,11.0,10.666666666666666
dead,dead,11.0,11.0
dead,dead,11.0,11.0
dead,dead,11.0,10.666666666666666
dead,dead,12.0,11.333333333333334
dead,dead,11.0,11.0
dead,dead,12.0,10.666666666666666
dead,dead,11.0,10.666666666666666
dead,dead,12.0,11.333333333333334
dead,dead,12.0,12.0
dead,dead,12.0,11.0
dead,dead,13.0,11.666666666666666
dead,dead,11.0,11.0
dead,dead,12.0,10.333333333333334
dead,dead,10.0,9.0
dead,dead,9.0,8.333333333333334
dead,dead,11.0,10.333333333333334
dead,dead,10.0,9.333333333333334
dead,dead,10.0,9.333333333333334
dead,dead,10.0,8.333333333333334
dead,dead,12.0,11.0
dead,dead,11.0,10.333333333333334
dead,dead,12.0,10.666666666666666
dead,dead,12.0,10.0
dead,dead,13.0,11.333333333333334
dead,dead,11.0,10.0
dead,dead,11.0,10.666666666666666
dead,dead,11.0,10.333333333333334
dead,dead,12.0,11.666666666666666
dead,dead,12.0,10.666666666666666
dead,dead,12.0,10.333333333333334
dead,dead,12.0,11.333333333333334
dead,dead,11.0,10.666666666666666
dead,dead,11.0,10.666666666666666
dead,dead,11.0,10.333333333333334
dead,dead,10.0,9.0
dead,dead,11.0,10.666666666666666
dead,dead,12.0,11.0
dead,dead,11.0,10.333333333333334
dead,dead,12.0,11.0
dead,dead,11.0,10.0
dead,dead,12.0,10.666666666666666
dead,dead,11.0,10.333333333333334
dead,dead,11.0,10.333333333333334
dead,dead,12.0,10.666666666666666
dead,dead,11.0,10.333333333333334
dead,dead,10.0,10.0
dead,dead,11.0,10.333333333333334
dead,dead,12.0,11.333333333333334
dead,dead,11.0,10.666666666666666
dead,dead,12.0,11.0
dead,dead,11.0,10.0
dead,dead,12.0,11.333333333333334
dead,dead,11.0,10.333333333333334
dead,dead,11.0,10.333333333333334
dead,dead,11.0,9.666666666666666
dead,dead,11.0,9.666666666666666
dead,dead,10.0,10.0
dead,dead,12.0,10.666666666666666
dead,dead,12.0,10.333333333333334
dead,dead,11.0,9.666666666666666
dead,dead,11.0,10.333333333333334
dead,dead,10.0,9.666666666666666
dead,dead,11.0,9.666666666666666
dead,dead,11.0,10.333333333333334
dead,dead,11.0,10.333333333333334
dead,dead,12.0,11.0
dead,dead,10.0,10.0
dead,dead,12.0,9.666666666666666
dead,dead,12.0,10.0
dead,dead,12.0,10.666666666666666
dead,dead,11.0,9.666666666666666
dead,dead,12.0,11.333333333333334
dead,dead,11.0,9.666666666666666
dead,dead,11.0,11.0
dead,dead,11.0,11.0
dead,dead,11.0,10.333333333333334
