Ground_truth,predicted,max_diff,local_diff
dead,dead,12.0,10.666666666666666
dead,dead,11.0,10.666666666666666
dead,dead,11.0,10.0
dead,dead,11.0,10.333333333333334
dead,dead,11.0,10.0
dead,dead,10.0,10.0
dead,dead,11.0,9.666666666666666
dead,dead,11.0,10.333333333333334
dead,dead,12.0,10.666666666666666
dead,dead,12.0,11.0
dead,dead,11.0,10.0
dead,dead,10.0,9.666666666666666
dead,dead,11.0,10.0
